/Library/Java/JavaVirtualMachines/jdk1.7.0_45.jdk/Contents/Home/bin/java -agentlib:jdwp=transport=dt_socket,address=127.0.0.1:64908,suspend=y,server=n -Dfile.encoding=UTF-8 -classpath "/Library/Java/JavaVirtualMachines/jdk1.7.0_45.jdk/Contents/Home/lib/ant-javafx.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_45.jdk/Contents/Home/lib/dt.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_45.jdk/Contents/Home/lib/javafx-doclet.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_45.jdk/Contents/Home/lib/javafx-mx.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_45.jdk/Contents/Home/lib/jconsole.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_45.jdk/Contents/Home/lib/sa-jdi.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_45.jdk/Contents/Home/lib/tools.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_45.jdk/Contents/Home/jre/lib/charsets.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_45.jdk/Contents/Home/jre/lib/deploy.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_45.jdk/Contents/Home/jre/lib/htmlconverter.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_45.jdk/Contents/Home/jre/lib/javaws.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_45.jdk/Contents/Home/jre/lib/jce.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_45.jdk/Contents/Home/jre/lib/jfr.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_45.jdk/Contents/Home/jre/lib/jfxrt.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_45.jdk/Contents/Home/jre/lib/JObjC.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_45.jdk/Contents/Home/jre/lib/jsse.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_45.jdk/Contents/Home/jre/lib/management-agent.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_45.jdk/Contents/Home/jre/lib/plugin.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_45.jdk/Contents/Home/jre/lib/resources.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_45.jdk/Contents/Home/jre/lib/rt.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_45.jdk/Contents/Home/jre/lib/ext/dnsns.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_45.jdk/Contents/Home/jre/lib/ext/localedata.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_45.jdk/Contents/Home/jre/lib/ext/sunec.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_45.jdk/Contents/Home/jre/lib/ext/sunjce_provider.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_45.jdk/Contents/Home/jre/lib/ext/sunpkcs11.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_45.jdk/Contents/Home/jre/lib/ext/zipfs.jar:/Users/geri/Documents/bp-reduce/bp-reduce-core/target/scala-2.10/classes:/Users/geri/.ivy2/cache/org.scala-lang/scala-library/jars/scala-library-2.10.3.jar:/Users/geri/.sbt/boot/scala-2.10.3/lib/scala-library.jar:/Users/geri/.ivy2/cache/org.scalaz/scalaz-core_2.10/jars/scalaz-core_2.10-7.0.0.jar:/Users/geri/.ivy2/cache/org.scalaz/scalaz-core_2.10/bundles/scalaz-core_2.10-7.0.0.jar:/Users/geri/.ivy2/cache/org.scalaz/scalaz-concurrent_2.10/jars/scalaz-concurrent_2.10-7.0.0.jar:/Users/geri/.ivy2/cache/org.scalaz/scalaz-concurrent_2.10/bundles/scalaz-concurrent_2.10-7.0.0.jar:/Users/geri/.ivy2/cache/org.scalaz/scalaz-effect_2.10/jars/scalaz-effect_2.10-7.0.0.jar:/Users/geri/.ivy2/cache/org.scalaz/scalaz-effect_2.10/bundles/scalaz-effect_2.10-7.0.0.jar:/Users/geri/.ivy2/cache/commons-io/commons-io/jars/commons-io-2.4.jar:/Users/geri/.ivy2/cache/com.eed3si9n/treehugger_2.9.1/jars/treehugger_2.9.1-0.1.0.jar:/Users/geri/.ivy2/cache/org.joda/joda-convert/jars/joda-convert-1.2.jar:/Users/geri/.ivy2/cache/joda-time/joda-time/jars/joda-time-2.3.jar:/Users/geri/.ivy2/cache/commons-lang/commons-lang/jars/commons-lang-2.4.jar:/Users/geri/.ivy2/cache/it.unimi.dsi/fastutil/jars/fastutil-6.5.9.jar:/Users/geri/.ivy2/cache/com.googlecode.kiama/kiama_2.10/jars/kiama_2.10-1.5.1.jar:/Users/geri/.ivy2/cache/org.bitbucket.inkytonik.dsinfo/dsinfo_2.10/jars/dsinfo_2.10-0.2.0.jar:/Users/geri/.ivy2/cache/org.scala-lang/scala-reflect/jars/scala-reflect-2.10.1.jar:/Users/geri/.ivy2/cache/org.bitbucket.inkytonik.dsprofile/dsprofile_2.10/jars/dsprofile_2.10-0.2.0.jar:/Users/geri/.ivy2/cache/jline/jline/jars/jline-1.0.jar:/Users/geri/.ivy2/cache/org.apache.commons/commons-exec/jars/commons-exec-1.2.jar:/Users/geri/.ivy2/cache/com.github.scopt/scopt_2.10/jars/scopt_2.10-3.2.0.jar:/Applications/IntelliJ IDEA 13 CE.app/lib/idea_rt.jar" bpReduce.main.Main --disk-cache /Users/geri/Documents/bp-reduce/bp-reduce-core/src/test/resources/trace_WP_bug2/main.bp
Connected to the target VM, address: '127.0.0.1:64908', transport: 'socket'
Using disk cache.
[1] (cache): √
[2] (cache): √
[3] (cache): √
[4] (cache): -
[5] (cache): -
[6] (cache): √
[7] (cache): √
[8] (cache): -
[9] (cache): -
[10] (cache): √
[11] (cache): -
[12] (cache): -
[13] (cache): √
[14] (cache): -
[15] (cache): -
[16] (cache): -
[17] (cache): √
[18] (cache): -
[19] (cache): -
[20] (cache): -
[21] (cache): -
[22] (cache): -
[23] (cache): -
[24] (cache): √
[25] (cache): -
[26] (cache): -
[27] (cache): -
[28] (cache): -
[29] (cache): -
[30] (cache): -
[31] (cache): -
[32] (cache): -
[33] (cache): -
[34] (cache): -
[35] (cache): -
[36] (cache): -
[37] (cache): -
[38] (cache): -
[39] (cache): √
[40] (cache): -
[41] (cache): -
[42] (cache): -
[43] (cache): -
[44] (cache): -
[45] (cache): -
[46] (cache): √
[47] (cache): -
[48] (cache): -
[49] (cache): -
[50] (cache): -
[51] (cache): -
[52] (cache): -
[53] (cache): √
[54] (cache): -
[55] (cache): -
[56] (cache): -
[57] (cache): -
[58] (cache): -
[59] (cache): -
[60] (cache): √
[61] (cache): -
[62] (cache): -
[63] (cache): -
[64] (cache): -
[65] (cache): -
[66] (cache): -
[67] (cache): √
[68] (cache): -
[69] (cache): -
[70] (cache): -
[71] (cache): -
[72] (cache): -
[73] (cache): -
[74] (cache): √
[75] (cache): -
[76] (cache): -
[77] (cache): -
[78] (cache): -
[79] (cache): -
[80] (cache): -
[81] (cache): -
[82] (cache): √
[83] (cache): -
[84] (cache): -
[85] (cache): -
[86] (cache): -
[87] (cache): -
[88] (cache): -
[89] (cache): -
[90] (cache): -
[91] (cache): √
[92] (cache): -
[93] (cache): -
[94] (cache): -
[95] (cache): -
[96] (cache): -
[97] (cache): -
[98] (cache): -
[99] (cache): -
[100] (cache): √
[101] (cache): -
[102] (cache): -
[103] (cache): -
[104] (cache): -
[105] (cache): -
[106] (cache): -
[107] (cache): -
[108] (cache): -
[109] (cache): √
[110] (cache): -
[111] (cache): -
[112] (cache): -
[113] (cache): -
[114] (cache): -
[115] (cache): -
[116] (cache): -
[117] (cache): -
[118] (cache): -
[119] (cache): √
[120] (cache): -
[121] (cache): -
[122] (cache): √
[123] (cache): √
[124] (cache): √
[125] (cache): -
[126] (cache): -
[127] (cache): -
[128] (cache): √
[129] (cache): √
[130] (cache): -
[131] (cache): -
[132] (cache): √
[133] (cache): √
[134] (cache): √
[135] (cache): -
[136] (cache): -
[137] (cache): -
[138] (cache): -
[139] (cache): -
[140] (cache): -
[141] (cache): √
[142] (cache): -
[143] (cache): -
[144] (cache): -
[145] (cache): -
[146] (cache): √
[147] (cache): -
[148] (cache): -
[149] (cache): -
[150] (cache): -
[151] (cache): √
[152] (cache): -
[153] (cache): -
[154] (cache): √
[155] (cache): -
[156] (cache): -
[157] (cache): -
[158] (cache): √
[159] (cache): -
[160] (cache): -
[161] (cache): -
[162] (cache): √
[163] (cache): -
[164] (cache): -
[165] (cache): √
[166] (cache): -
[167] (cache): -
[168] (cache): √
[169] (cache): -
[170] (cache): -
[171] (cache): √
[172] (cache): -
[173] (cache): -
[174] (cache): √
[175] (cache): -
[176] (cache): -
[177] (cache): √
[178] (cache): -
[179] (cache): -
[180] (cache): √
[181] (cache): -
[182] (cache): -
[183] (cache): √
[184] (cache): √
[185] (cache): √
[186] (cache): √
[187] (cache): √
[188] (cache): √
*** next quick fixpoint iteration ***
[189] (cache): -
[190] (cache): -
[191] (cache): -
[192] (cache): -
[193] (cache): -
[194] (cache): -
[195] (cache): √
[196] (cache): -
[197] (cache): √
[198] (cache): -
[199] (cache): -
[200] (cache): -
[201] (cache): -
[202] (cache): √
[203] (cache): -
[204] (cache): √
[205] reduced.205.bp: - 760.99 ms.
[206] reduced.206.bp: - 815.218 ms.
[207] reduced.207.bp: - 740.929 ms.
[208] reduced.208.bp: - 500.862 ms.
[209] reduced.209.bp: - 515.628 ms.
[210] reduced.210.bp: - 688.903 ms.
[211] reduced.211.bp: - 691.429 ms.
[212] reduced.212.bp: - 342.528 ms.
[213] reduced.213.bp: - 377.331 ms.
[214] reduced.214.bp: - 395.149 ms.
[215] reduced.215.bp: - 85.463 ms.
[216] reduced.216.bp: - 2558.38 ms.
[217] reduced.217.bp: - 729.435 ms.
[218] reduced.218.bp: - 2608.166 ms.
[219] reduced.219.bp: - 707.344 ms.
[220] reduced.220.bp: - 516.84 ms.
[221] reduced.221.bp: - 520.543 ms.
*** next quick fixpoint iteration ***
[222] reduced.222.bp: - 755.526 ms.
[223] reduced.223.bp: - 200.107 ms.
[224] reduced.224.bp: - 746.024 ms.
[225] reduced.225.bp: - 318.741 ms.
[226] reduced.226.bp: - 1001.791 ms.
[227] reduced.227.bp: - 416.04 ms.
[228] (cache): -
[229] (cache): -
[230] (cache): -
[231] (cache): -
[232] (cache): -
[233] (cache): -
[234] (cache): -
[235] (cache): -
[236] (cache): -
[237] (cache): -
[238] (cache): -
[239] (cache): -
[240] (cache): -
[241] (cache): -
[242] (cache): -
*** next remaining fixpoint iteration (no success) ***
[243] reduced.243.bp: - 130.443 ms.
[244] reduced.244.bp: - 41.386 ms.
[245] reduced.245.bp: - 1350.843 ms.
[246] reduced.246.bp: - 78.421 ms.
[247] reduced.247.bp: - 906.8 ms.
[248] reduced.248.bp: - 4067.297 ms.
[249] reduced.249.bp: - 1767.455 ms.
[250] reduced.250.bp: - 4825.71 ms.
[251] reduced.251.bp: - 80.558 ms.
[252] reduced.252.bp: - 129.384 ms.
